song,segment,vocal_rmsDb,inst_rmsDb,vocal_zcr,inst_zcr,vocal_crest,inst_crest,vocal_adjustment_db,inst_adjustment_db
Al James - Schoolboy Facination,0,-22.9881649017334,-23.386249542236328,0.03896767436594203,0.05632076539855072,8.329242706298828,6.399570941925049,-0.0002391896559856832,-0.0009666358819231391
Al James - Schoolboy Facination,1,-23.376386642456055,-23.060653686523438,0.08144248188405798,0.10921648550724637,7.429708003997803,6.725835800170898,-0.00032513384940102696,-0.0010815830901265144
Al James - Schoolboy Facination,2,-27.089059829711914,-24.323835372924805,0.05643257472826087,0.04628623188405797,7.973705768585205,8.377359390258789,-0.0004338596772868186,-0.0009749202290549874
Al James - Schoolboy Facination,3,-25.281349182128906,-24.442062377929688,0.0771682518115942,0.05297922327898551,6.103592872619629,7.293393611907959,-0.00039036915404722095,-0.0009868291672319174
Al James - Schoolboy Facination,4,-27.096338272094727,-22.688995361328125,0.055927309782608695,0.08902570199275363,7.330327033996582,5.358590126037598,-0.0006466555641964078,-0.0007346748607233167
Al James - Schoolboy Facination,5,-25.043739318847656,-23.372623443603516,0.0639747509057971,0.05986752717391304,5.9994306564331055,8.177711486816406,-0.0002500620612408966,-0.0007315683178603649
Al James - Schoolboy Facination,6,-25.208158493041992,-24.095842361450195,0.0927040874094203,0.06682093523550725,5.8292036056518555,6.7981109619140625,-0.000329275761032477,-0.0009697425412014127
Al James - Schoolboy Facination,7,-25.990476608276367,-22.157346725463867,0.0616111865942029,0.1329979053442029,7.504445552825928,5.4502363204956055,-0.0007046445971354842,-0.0007548676803708076
Al James - Schoolboy Facination,8,-25.874469757080078,-22.13140869140625,0.11625764266304348,0.045698879076086954,8.144292831420898,6.764837265014648,-0.00039606436621397734,-0.0006885940674692392
Al James - Schoolboy Facination,9,-23.936599731445312,-21.312368392944336,0.05925894474637681,0.045434216485507245,5.632680892944336,5.960161209106445,-0.0005689922254532576,-0.0007496899925172329
Al James - Schoolboy Facination,10,-23.185243606567383,-21.188457489013672,0.06640058876811594,0.06621942934782608,5.025439262390137,5.169417858123779,-0.0005353383021429181,-0.0007590097957290709
Al James - Schoolboy Facination,11,-23.604408264160156,-21.85645866394043,0.10683735280797102,0.07620725769927536,6.660775661468506,6.284986972808838,-0.00035568050225265324,-0.0007160354289226234
Al James - Schoolboy Facination,12,-22.71395492553711,-22.621004104614258,0.11431867074275362,0.0711631000905797,5.933560371398926,5.358282089233398,-0.00037639011861756444,-0.0010173781774938107
Al James - Schoolboy Facination,13,-22.796344757080078,-22.420814514160156,0.08509397644927537,0.06544242527173913,6.3318190574646,5.652769565582275,-0.00036862402339465916,-0.0010515516623854637
Al James - Schoolboy Facination,14,-21.54580307006836,-22.529338836669922,0.1072562839673913,0.0732818161231884,7.809973239898682,5.363690376281738,-0.00026921823155134916,-0.0010743341408669949
Al James - Schoolboy Facination,15,-20.589189529418945,-22.445106506347656,0.06871320199275362,0.06372565670289855,5.607147216796875,6.283282279968262,-0.00023660097212996334,-0.001163393259048462
Al James - Schoolboy Facination,16,-21.825931549072266,-23.522424697875977,0.13810150588768116,0.0605369678442029,6.967501163482666,8.184921264648438,-0.00017447317077312618,-0.0009832046926021576
Al James - Schoolboy Facination,17,-31.26968002319336,-26.564748764038086,0.08850203804347827,0.14014804121376812,9.73534107208252,8.07683277130127,-0.0005891846376471221,-0.0006803098949603736
Al James - Schoolboy Facination,18,-25.28298568725586,-26.310279846191406,0.06513671875,0.07829908288043479,6.912653923034668,8.469011306762695,-0.0002935518277809024,-0.0012084409827366471
Al James - Schoolboy Facination,19,-24.768966674804688,-21.453369140625,0.03367442255434783,0.07066915760869565,6.078684329986572,5.7350029945373535,-0.00040227724821306765,-0.0005948799080215394
Al James - Schoolboy Facination,20,-29.333742141723633,-22.70981788635254,0.02665307971014493,0.08185716711956521,7.35368537902832,5.753130912780762,-0.0010230736806988716,-0.0007496899925172329
Al James - Schoolboy Facination,21,-25.455883026123047,-24.069425582885742,0.0649017776268116,0.046146116394927536,5.658120155334473,8.79495906829834,-0.0004483565571717918,-0.0008962184656411409
Al James - Schoolboy Facination,22,-24.57439422607422,-24.04743194580078,0.07400079257246377,0.08711079030797102,6.845217704772949,6.700509071350098,-0.00037897884612903,-0.0010909033007919788
Al James - Schoolboy Facination,23,-27.081918716430664,-21.851558685302734,0.035570935235507244,0.1128524116847826,7.0543646812438965,5.271328926086426,-0.0008030198514461517,-0.0007124110707081854
Al James - Schoolboy Facination,24,-24.293119430541992,-22.416114807128906,0.08139860733695652,0.042695595561594205,6.954278945922852,6.845957279205322,-0.0004633711650967598,-0.0008894874481484294
Al James - Schoolboy Facination,25,-25.787456512451172,-20.799062728881836,0.06438235960144928,0.04200775588768116,5.595158100128174,5.418061256408691,-0.0007341570453718305,-0.0006948071531951427
Al James - Schoolboy Facination,26,-24.98123550415039,-20.999221801757812,0.0680168704710145,0.08482223731884057,5.14359712600708,5.354685306549072,-0.0006715079653076828,-0.0007067156257107854
Al James - Schoolboy Facination,27,-23.192867279052734,-21.96277618408203,0.12578125,0.06417855525362319,6.339324474334717,6.0156073570251465,-0.0003712126926984638,-0.0007569387089461088
Al James - Schoolboy Facination,28,-22.89942169189453,-22.594970703125,0.09771286231884058,0.06495697463768116,6.7197465896606445,5.497973918914795,-0.0003976175794377923,-0.0009956314461305737
Al James - Schoolboy Facination,29,-23.9871768951416,-22.49312973022461,0.10443132925724638,0.06742527173913043,7.30038595199585,5.779119968414307,-0.0004680309211835265,-0.0009650824940763414
Al James - Schoolboy Facination,30,-20.612192153930664,-22.011110305786133,0.08923233695652173,0.07046676856884058,5.93932580947876,5.250954627990723,-0.0002718069008551538,-0.00111368577927351
Al James - Schoolboy Facination,31,-21.483867645263672,-21.858461380004883,0.09417742300724638,0.06693699048913043,5.713723182678223,5.873867988586426,-0.000310637173242867,-0.0010230736806988716
Al James - Schoolboy Facination,32,-22.261695861816406,-23.347204208374023,0.11384737318840579,0.06629161005434783,6.6506876945495605,7.981980323791504,-0.0002583457971923053,-0.0009153760620392859
Al James - Schoolboy Facination,33,-26.005765914916992,-23.113096237182617,0.07634595788043479,0.08522560009057971,4.351693153381348,5.666027545928955,-0.0008040553657338023,-0.0009454070241190493
Al James - Schoolboy Facination,34,-24.61751937866211,-22.430511474609375,0.07763105751811594,0.09600741621376811,5.44807243347168,6.005472183227539,-0.0006528686499223113,-0.0010608717566356063
Al James - Schoolboy Facination,35,-30.118467330932617,-22.24031639099121,0.03867895153985507,0.09228374094202899,5.203105449676514,5.391165256500244,-0.0013953658053651452,-0.0008289082325063646
Al James - Schoolboy Facination,36,-22.338579177856445,-21.19419288635254,0.07642946105072464,0.03219825634057971,5.98878288269043,5.280329704284668,-0.00032668706262484193,-0.0008837919449433684
Al James - Schoolboy Facination,37,-23.95077896118164,-19.9510498046875,0.08043478260869565,0.04516813858695652,7.227294445037842,5.565014839172363,-0.0005503530846908689,-0.0006502798059955239
Al James - Schoolboy Facination,38,-24.390491485595703,-21.453285217285156,0.0794242527173913,0.08298092164855073,6.685875415802002,5.603632926940918,-0.0005187703063711524,-0.0007424413342960179
Al James - Schoolboy Facination,39,-22.823116302490234,-21.154056549072266,0.11569151947463768,0.07178017436594203,6.032465934753418,6.513693809509277,-0.0004317886778153479,-0.0007900757482275367
Al James - Schoolboy Facination,40,-22.448644638061523,-22.534915924072266,0.09281448143115942,0.06573963994565217,6.42136812210083,6.660345554351807,-0.00030028243781998754,-0.0010712274815887213
Al James - Schoolboy Facination,41,-24.44124412536621,-22.488386154174805,0.12045120018115942,0.06967561141304347,6.8479485511779785,5.746297359466553,-0.0005099685513414443,-0.0010013269493356347
Al James - Schoolboy Facination,42,-19.903047561645508,-22.177932739257812,0.07619310461956522,0.07341627038043479,5.085585594177246,6.28902530670166,-0.00022210444149095565,-0.0011949784820899367
Al James - Schoolboy Facination,43,-20.382585525512695,-21.718048095703125,0.1063193500905797,0.06817963088768116,5.76205587387085,7.160811901092529,-0.0002371187147218734,-0.0010147892171517015
Al James - Schoolboy Facination,44,-22.31696128845215,-21.8785400390625,0.11096014492753623,0.07732252038043479,5.779839992523193,7.87154483795166,-0.00034843210596591234,-0.0007543498650193214
Al James - Schoolboy Facination,45,-24.263248443603516,-22.56244468688965,0.11000481204710146,0.07193868885869566,7.953935623168945,5.867846488952637,-0.000545693386811763,-0.0009671535808593035
Al James - Schoolboy Facination,46,-21.500133514404297,-22.483179092407227,0.0917374320652174,0.0684471240942029,5.5432610511779785,6.580987930297852,-0.000303388835163787,-0.0011473419144749641
Al James - Schoolboy Facination,47,-22.301673889160156,-22.475196838378906,0.1175300045289855,0.07495895606884058,6.792148113250732,6.045376300811768,-0.0003282402758486569,-0.0010660495609045029
Al James - Schoolboy Facination,48,-18.8663272857666,-21.602266311645508,0.0650588768115942,0.06271654211956522,5.6803669929504395,6.047571182250977,-0.0001812036643968895,-0.0011820336803793907
Al James - Schoolboy Facination,49,-21.502656936645508,-23.182966232299805,0.13110139266304346,0.05918251811594203,6.5157599449157715,9.278687477111816,-0.00022987043485045433,-0.000865669921040535
AM Contra - Heart Peripheral,0,-94.94002532958984,-28.221519470214844,0.5039218183876811,0.15512766077898552,3.4086403846740723,9.18635368347168,-3.7575387954711914,-0.0002702537167351693
AM Contra - Heart Peripheral,1,-94.94277954101562,-21.498994827270508,0.5040548573369565,0.13975175498188405,4.262151718139648,4.806515693664551,-13.665712356567383,-0.00018482778978068382
AM Contra - Heart Peripheral,2,-94.9639892578125,-20.77134132385254,0.5030245131340579,0.1266799705615942,4.2725749015808105,4.633041858673096,-18.082931518554688,-0.0002743955992627889
AM Contra - Heart Peripheral,3,-94.91973876953125,-21.296567916870117,0.504288383152174,0.13598278985507245,4.250864505767822,5.182610511779785,-23.191421508789062,-0.00027543105534277856
AM Contra - Heart Peripheral,4,-27.00882339477539,-21.32079315185547,0.24190726902173912,0.039564934329710144,3.6838161945343018,5.158180236816406,-0.0004556050116661936,-0.0002899276732932776
